Annee,PIB,Tertiare,Agriculture,Industries d'extraction,Industrie alimentaire,Industrie chimique,Industrie du papier,Industrie non-metallique,Autres industries manufacturies,Batiment et travaux publics,Transport
2040.0,3.690241667278091,3.4344814576265543,3.5086905573729075,3.6726605371448606,3.219307776310255,3.679588692155902,2.6266007043765702,3.800667125247148,2.915411610111544,4.10100960263962,3.6894169209591823
2041.0,3.9311276127596186,3.654034620624839,3.71889441901156,3.930212629348818,3.3979600391359215,3.938999688094383,2.762924321312223,4.0677273504445735,3.088644868654102,4.385650633363592,3.9494482957811696
2042.0,4.19619939491785,3.8939777227744625,3.9452597849750766,4.211689111445054,3.5892549205349695,4.22260764540875,2.910891791641967,4.359654599559362,3.2773107062768654,4.69662637672612,4.233730943870727
2043.0,4.478195857592225,4.1403153106400366,4.19014857804988,4.519654749644274,3.7946278946438357,4.492400887697005,3.0654154814558066,4.679071977318881,3.4831050862923756,5.036697587852266,4.544826951261514
2044.0,4.789763613277894,4.447646768745512,4.450333650505677,4.857137721425173,4.015501070315496,4.703995178579643,3.2422256800432985,5.028910610865395,3.706371785898025,5.408947568722536,4.885599640809801
2045.0,5.130006821783788,4.754474078644126,4.733726313989667,5.101134633212579,4.251960021073439,4.918082816993617,3.418652444502415,5.401122279698394,3.935791063351149,5.816823055171898,5.25925198340658
2046.0,5.486952760989182,5.084512311824374,5.040549662594808,5.345791211010507,4.505365762378677,5.1439059395043945,3.609067051007149,5.788235704613192,4.183422969104464,6.264180667509137,5.669369308672275
2047.0,5.868386193782081,5.443149786305393,5.377597917373919,5.601393878171994,4.779090652225844,5.37811146687837,3.8106124929678287,6.211673823928034,4.417392607714755,6.755339728969425,6.1199709731179395
2048.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2049.0,6.730905243962803,6.232639057116649,6.113883266580944,6.245056373107199,5.384061052995908,5.870962921664389,4.257971905555542,7.182615140487043,4.933822184408336,7.8890220498459005,6.945405795209898
2050.0,6.484182199420737,5.448338012618744,6.487768236630181,6.3322952094257365,5.6806645159702525,6.0533307324918,4.138445298527727,7.712421555175929,5.178173109702564,8.543081543123076,7.113220777647827
